正则表达式元字符

字符             描述
.       匹配除换行符以外的任意字符。
^       匹配字符串的开头。
$       匹配字符串的结尾。
[...]   匹配括号内的任意一个字符。
[^...]  匹配不在括号内的任意一个字符。
\       转义字符，用于转义元字符。
\d      匹配任何数字字符，等价于 [0-9]。
\D      匹配任何非数字字符，等价于 [^0-9]。
\s      匹配任何空白字符（空格、制表符、换行符等）。
\S      匹配任何非空白字符。
\w      匹配任何字母、数字或下划线，等价于 [a-zA-Z0-9_]。
\W      匹配任何非字母、数字或下划线字符。
\b      匹配单词边界（单词的开头或结尾）。
\B      匹配非单词边界的位置。
*       匹配前面的字符零次或多次。
+       匹配前面的字符一次或多次。
?       匹配前面的字符零次或一次。
{n}     匹配前面的字符恰好 n 次。
{n,}    匹配前面的字符至少 n 次。
{n,m}   匹配前面的字符至少 n 次，至多 m 次。
|       或操作符，匹配符号两侧的任意一个表达式。
(...)   捕获组，匹配括号内的表达式。
